"","Date","State.UnionTerritory","ConfirmedIndianNational","ConfirmedForeignNational","Cured","Deaths","Confirmed"
"3","10-03-2020","Andhra Pradesh","0","0","0","0",0
"4","10-03-2020","Andaman and Nicobar Islands","0","0","0","0",0
"5","10-03-2020","Arunachal Pradesh","0","0","0","0",0
"6","10-03-2020","Assam","0","0","0","0",0
"7","10-03-2020","Bihar","0","0","0","0",0
"8","10-03-2020","Chandigarh","0","0","0","0",0
"9","10-03-2020","Chhattisgarh","0","0","0","0",0
"10","10-03-2020","Dadra and Nagar Haveli","0","0","0","0",0
"11","10-03-2020","Delhi","4","0","0","0",4
"12","10-03-2020","Goa","0","0","0","0",0
"13","10-03-2020","Gujarat","0","0","0","0",0
"14","10-03-2020","Haryana","0","14","0","0",14
"15","10-03-2020","Himachal Pradesh","0","0","0","0",0
"16","10-03-2020","Jammu and Kashmir","1","0","0","0",1
"17","10-03-2020","Jharkhand","0","0","0","0",0
"18","10-03-2020","Karnataka","1","0","0","0",1
"19","10-03-2020","Kerala","9","0","0","0",9
"20","10-03-2020","Lakshadweep","0","0","0","0",0
"21","10-03-2020","Ladakh","2","0","0","0",2
"22","10-03-2020","Madhya Pradesh","0","0","0","0",0
"23","10-03-2020","Maharashtra","2","0","0","0",2
"24","10-03-2020","Manipur","0","0","0","0",0
"25","10-03-2020","Meghalaya","0","0","0","0",0
"26","10-03-2020","Mizoram","0","0","0","0",0
"27","10-03-2020","Nagaland","0","0","0","0",0
"28","10-03-2020","Odisha","0","0","0","0",0
"29","10-03-2020","Puducherry","0","0","0","0",0
"30","10-03-2020","Punjab","1","0","0","0",1
"31","10-03-2020","Rajasthan","0","2","0","0",2
"32","10-03-2020","Sikkim","0","0","0","0",0
"33","10-03-2020","Tamil Nadu","1","0","0","0",1
"34","10-03-2020","Telengana","1","0","0","0",1
"35","10-03-2020","Tripura","0","0","0","0",0
"36","10-03-2020","Uttarakhand","0","0","0","0",0
"37","10-03-2020","Uttar Pradesh","9","0","0","0",9
"38","10-03-2020","West Bengal","0","0","0","0",0
"39","11-03-2020","Andhra Pradesh","0","0","0","0",0
"41","11-03-2020","Andaman and Nicobar Islands","0","0","0","0",0
"51","11-03-2020","Arunachal Pradesh","0","0","0","0",0
"61","11-03-2020","Assam","0","0","0","0",0
"71","11-03-2020","Bihar","0","0","0","0",0
"81","11-03-2020","Chandigarh","0","0","0","0",0
"91","11-03-2020","Chhattisgarh","0","0","0","0",0
"101","11-03-2020","Dadra and Nagar Haveli","0","0","0","0",0
"111","11-03-2020","Delhi","5","0","0","0",5
"121","11-03-2020","Goa","0","0","0","0",0
"131","11-03-2020","Gujarat","0","0","0","0",0
"141","11-03-2020","Haryana","0","14","0","0",14
"151","11-03-2020","Himachal Pradesh","0","0","0","0",0
"161","11-03-2020","Jammu and Kashmir","1","0","0","0",1
"171","11-03-2020","Jharkhand","0","0","0","0",0
"181","11-03-2020","Karnataka","4","0","0","0",4
"191","11-03-2020","Kerala","17","0","0","0",17
"201","11-03-2020","Lakshadweep","0","0","0","0",0
"211","11-03-2020","Ladakh","2","0","0","0",2
"221","11-03-2020","Madhya Pradesh","0","0","0","0",0
"231","11-03-2020","Maharashtra","2","0","0","0",2
"241","11-03-2020","Manipur","0","0","0","0",0
"251","11-03-2020","Meghalaya","0","0","0","0",0
"261","11-03-2020","Mizoram","0","0","0","0",0
"271","11-03-2020","Nagaland","0","0","0","0",0
"281","11-03-2020","Odisha","0","0","0","0",0
"291","11-03-2020","Puducherry","0","0","0","0",0
"301","11-03-2020","Punjab","1","0","0","0",1
"311","11-03-2020","Rajasthan","1","2","0","0",3
"321","11-03-2020","Sikkim","0","0","0","0",0
"331","11-03-2020","Tamil Nadu","1","0","0","0",1
"341","11-03-2020","Telengana","1","0","0","0",1
"351","11-03-2020","Tripura","0","0","0","0",0
"361","11-03-2020","Uttarakhand","0","0","0","0",0
"371","11-03-2020","Uttar Pradesh","9","0","0","0",9
"381","11-03-2020","West Bengal","0","0","0","0",0
"310","12-03-2020","Andhra Pradesh","1","0","0","0",1
"42","12-03-2020","Andaman and Nicobar Islands","0","0","0","0",0
"52","12-03-2020","Arunachal Pradesh","0","0","0","0",0
"62","12-03-2020","Assam","0","0","0","0",0
"72","12-03-2020","Bihar","0","0","0","0",0
"82","12-03-2020","Chandigarh","0","0","0","0",0
"92","12-03-2020","Chhattisgarh","0","0","0","0",0
"102","12-03-2020","Dadra and Nagar Haveli","0","0","0","0",0
"112","12-03-2020","Delhi","6","0","0","0",6
"122","12-03-2020","Goa","0","0","0","0",0
"132","12-03-2020","Gujarat","0","0","0","0",0
"142","12-03-2020","Haryana","0","14","0","0",14
"152","12-03-2020","Himachal Pradesh","0","0","0","0",0
"162","12-03-2020","Jammu and Kashmir","1","0","0","0",1
"172","12-03-2020","Jharkhand","0","0","0","0",0
"182","12-03-2020","Karnataka","4","0","0","0",4
"192","12-03-2020","Kerala","17","0","3","0",17
"202","12-03-2020","Lakshadweep","0","0","0","0",0
"212","12-03-2020","Ladakh","3","0","0","0",3
"222","12-03-2020","Madhya Pradesh","0","0","0","0",0
"232","12-03-2020","Maharashtra","11","0","0","0",11
"242","12-03-2020","Manipur","0","0","0","0",0
"252","12-03-2020","Meghalaya","0","0","0","0",0
"262","12-03-2020","Mizoram","0","0","0","0",0
"272","12-03-2020","Nagaland","0","0","0","0",0
"282","12-03-2020","Odisha","0","0","0","0",0
"292","12-03-2020","Puducherry","0","0","0","0",0
"302","12-03-2020","Punjab","1","0","0","0",1
"312","12-03-2020","Rajasthan","1","2","0","0",3
"322","12-03-2020","Sikkim","0","0","0","0",0
"332","12-03-2020","Tamil Nadu","1","0","0","0",1
"342","12-03-2020","Telengana","1","0","0","0",1
"352","12-03-2020","Tripura","0","0","0","0",0
"362","12-03-2020","Uttarakhand","0","0","0","0",0
"372","12-03-2020","Uttar Pradesh","10","1","0","0",11
"382","12-03-2020","West Bengal","0","0","0","0",0
"313","13-03-2020","Andhra Pradesh","1","0","0","0",1
"43","13-03-2020","Andaman and Nicobar Islands","0","0","0","0",0
"53","13-03-2020","Arunachal Pradesh","0","0","0","0",0
"63","13-03-2020","Assam","0","0","0","0",0
"73","13-03-2020","Bihar","0","0","0","0",0
"83","13-03-2020","Chandigarh","0","0","0","0",0
"93","13-03-2020","Chhattisgarh","0","0","0","0",0
"103","13-03-2020","Dadra and Nagar Haveli","0","0","0","0",0
"113","13-03-2020","Delhi","6","0","0","0",6
"123","13-03-2020","Goa","0","0","0","0",0
"133","13-03-2020","Gujarat","0","0","0","0",0
"143","13-03-2020","Haryana","0","14","0","0",14
"153","13-03-2020","Himachal Pradesh","0","0","0","0",0
"163","13-03-2020","Jammu and Kashmir","1","0","0","0",1
"173","13-03-2020","Jharkhand","0","0","0","0",0
"183","13-03-2020","Karnataka","6","0","0","1",6
"193","13-03-2020","Kerala","19","0","3","0",19
"203","13-03-2020","Lakshadweep","0","0","0","0",0
"213","13-03-2020","Ladakh","3","0","0","0",3
"223","13-03-2020","Madhya Pradesh","0","0","0","0",0
"233","13-03-2020","Maharashtra","14","0","0","0",14
"243","13-03-2020","Manipur","0","0","0","0",0
"253","13-03-2020","Meghalaya","0","0","0","0",0
"263","13-03-2020","Mizoram","0","0","0","0",0
"273","13-03-2020","Nagaland","0","0","0","0",0
"283","13-03-2020","Odisha","0","0","0","0",0
"293","13-03-2020","Puducherry","0","0","0","0",0
"303","13-03-2020","Punjab","1","0","0","0",1
"314","13-03-2020","Rajasthan","1","2","0","0",3
"323","13-03-2020","Sikkim","0","0","0","0",0
"333","13-03-2020","Tamil Nadu","1","0","0","0",1
"343","13-03-2020","Telengana","1","0","0","0",1
"353","13-03-2020","Tripura","0","0","0","0",0
"363","13-03-2020","Uttarakhand","0","0","0","0",0
"373","13-03-2020","Uttar Pradesh","10","1","0","0",11
"383","13-03-2020","West Bengal","0","0","0","0",0
"315","14-03-2020","Andhra Pradesh","1","0","0","0",1
"44","14-03-2020","Andaman and Nicobar Islands","0","0","0","0",0
"54","14-03-2020","Arunachal Pradesh","0","0","0","0",0
"64","14-03-2020","Assam","0","0","0","0",0
"74","14-03-2020","Bihar","0","0","0","0",0
"84","14-03-2020","Chandigarh","0","0","0","0",0
"94","14-03-2020","Chhattisgarh","0","0","0","0",0
"104","14-03-2020","Dadra and Nagar Haveli","0","0","0","0",0
"114","14-03-2020","Delhi","7","0","1","1",7
"124","14-03-2020","Goa","0","0","0","0",0
"134","14-03-2020","Gujarat","0","0","0","0",0
"144","14-03-2020","Haryana","0","14","0","0",14
"154","14-03-2020","Himachal Pradesh","0","0","0","0",0
"164","14-03-2020","Jammu and Kashmir","2","0","0","0",2
"174","14-03-2020","Jharkhand","0","0","0","0",0
"184","14-03-2020","Karnataka","6","0","0","1",6
"194","14-03-2020","Kerala","19","0","3","0",19
"204","14-03-2020","Lakshadweep","0","0","0","0",0
"214","14-03-2020","Ladakh","3","0","0","0",3
"224","14-03-2020","Madhya Pradesh","0","0","0","0",0
"234","14-03-2020","Maharashtra","14","0","0","0",14
"244","14-03-2020","Manipur","0","0","0","0",0
"254","14-03-2020","Meghalaya","0","0","0","0",0
"264","14-03-2020","Mizoram","0","0","0","0",0
"274","14-03-2020","Nagaland","0","0","0","0",0
"284","14-03-2020","Odisha","0","0","0","0",0
"294","14-03-2020","Puducherry","0","0","0","0",0
"304","14-03-2020","Punjab","1","0","0","0",1
"316","14-03-2020","Rajasthan","1","2","1","0",3
"324","14-03-2020","Sikkim","0","0","0","0",0
"334","14-03-2020","Tamil Nadu","1","0","0","0",1
"344","14-03-2020","Telengana","1","0","0","0",1
"354","14-03-2020","Tripura","0","0","0","0",0
"364","14-03-2020","Uttarakhand","0","0","0","0",0
"374","14-03-2020","Uttar Pradesh","11","1","5","0",12
"384","14-03-2020","West Bengal","0","0","0","0",0
"317","15-03-2020","Andhra Pradesh","1","0","0","0",1
"45","15-03-2020","Andaman and Nicobar Islands","0","0","0","0",0
"55","15-03-2020","Arunachal Pradesh","0","0","0","0",0
"65","15-03-2020","Assam","0","0","0","0",0
"75","15-03-2020","Bihar","0","0","0","0",0
"85","15-03-2020","Chandigarh","0","0","0","0",0
"95","15-03-2020","Chhattisgarh","0","0","0","0",0
"105","15-03-2020","Dadra and Nagar Haveli","0","0","0","0",0
"115","15-03-2020","Delhi","7","0","2","1",7
"125","15-03-2020","Goa","0","0","0","0",0
"135","15-03-2020","Gujarat","0","0","0","0",0
"145","15-03-2020","Haryana","0","14","0","0",14
"155","15-03-2020","Himachal Pradesh","0","0","0","0",0
"165","15-03-2020","Jammu and Kashmir","2","0","0","0",2
"175","15-03-2020","Jharkhand","0","0","0","0",0
"185","15-03-2020","Karnataka","6","0","0","1",6
"195","15-03-2020","Kerala","22","0","3","0",22
"205","15-03-2020","Lakshadweep","0","0","0","0",0
"215","15-03-2020","Ladakh","3","0","0","0",3
"225","15-03-2020","Madhya Pradesh","0","0","0","0",0
"235","15-03-2020","Maharashtra","32","0","0","0",32
"245","15-03-2020","Manipur","0","0","0","0",0
"255","15-03-2020","Meghalaya","0","0","0","0",0
"265","15-03-2020","Mizoram","0","0","0","0",0
"275","15-03-2020","Nagaland","0","0","0","0",0
"285","15-03-2020","Odisha","0","0","0","0",0
"295","15-03-2020","Puducherry","0","0","0","0",0
"305","15-03-2020","Punjab","1","0","0","0",1
"318","15-03-2020","Rajasthan","2","2","3","0",4
"325","15-03-2020","Sikkim","0","0","0","0",0
"335","15-03-2020","Tamil Nadu","1","0","0","0",1
"345","15-03-2020","Telengana","3","0","1","0",3
"355","15-03-2020","Tripura","0","0","0","0",0
"365","15-03-2020","Uttarakhand","1","0","0","0",1
"375","15-03-2020","Uttar Pradesh","12","1","4","0",13
"385","15-03-2020","West Bengal","0","0","0","0",0
"319","16-03-2020","Andhra Pradesh","1","0","0","0",1
"46","16-03-2020","Andaman and Nicobar Islands","0","0","0","0",0
"56","16-03-2020","Arunachal Pradesh","0","0","0","0",0
"66","16-03-2020","Assam","0","0","0","0",0
"76","16-03-2020","Bihar","0","0","0","0",0
"86","16-03-2020","Chandigarh","0","0","0","0",0
"96","16-03-2020","Chhattisgarh","0","0","0","0",0
"106","16-03-2020","Dadra and Nagar Haveli","0","0","0","0",0
"116","16-03-2020","Delhi","7","0","2","1",7
"126","16-03-2020","Goa","0","0","0","0",0
"136","16-03-2020","Gujarat","0","0","0","0",0
"146","16-03-2020","Haryana","0","14","0","0",14
"156","16-03-2020","Himachal Pradesh","0","0","0","0",0
"166","16-03-2020","Jammu and Kashmir","3","0","0","0",3
"176","16-03-2020","Jharkhand","0","0","0","0",0
"186","16-03-2020","Karnataka","6","0","0","1",6
"196","16-03-2020","Kerala","23","0","3","0",23
"206","16-03-2020","Lakshadweep","0","0","0","0",0
"216","16-03-2020","Ladakh","4","0","0","0",4
"226","16-03-2020","Madhya Pradesh","0","0","0","0",0
"236","16-03-2020","Maharashtra","32","0","0","0",32
"246","16-03-2020","Manipur","0","0","0","0",0
"256","16-03-2020","Meghalaya","0","0","0","0",0
"266","16-03-2020","Mizoram","0","0","0","0",0
"276","16-03-2020","Nagaland","0","0","0","0",0
"286","16-03-2020","Odisha","1","0","0","0",1
"296","16-03-2020","Puducherry","0","0","0","0",0
"306","16-03-2020","Punjab","1","0","0","0",1
"3110","16-03-2020","Rajasthan","2","2","3","0",4
"326","16-03-2020","Sikkim","0","0","0","0",0
"336","16-03-2020","Tamil Nadu","1","0","0","0",1
"346","16-03-2020","Telengana","3","0","1","0",3
"356","16-03-2020","Tripura","0","0","0","0",0
"366","16-03-2020","Uttarakhand","1","0","0","0",1
"376","16-03-2020","Uttar Pradesh","12","1","4","0",13
"386","16-03-2020","West Bengal","0","0","0","0",0
"320","17-03-2020","Andhra Pradesh","1","0","0","0",1
"47","17-03-2020","Andaman and Nicobar Islands","0","0","0","0",0
"57","17-03-2020","Arunachal Pradesh","0","0","0","0",0
"67","17-03-2020","Assam","0","0","0","0",0
"77","17-03-2020","Bihar","0","0","0","0",0
"87","17-03-2020","Chandigarh","0","0","0","0",0
"97","17-03-2020","Chhattisgarh","0","0","0","0",0
"107","17-03-2020","Dadra and Nagar Haveli","0","0","0","0",0
"117","17-03-2020","Delhi","8","0","2","1",8
"127","17-03-2020","Goa","0","0","0","0",0
"137","17-03-2020","Gujarat","0","0","0","0",0
"147","17-03-2020","Haryana","1","14","0","0",15
"157","17-03-2020","Himachal Pradesh","0","0","0","0",0
"167","17-03-2020","Jammu and Kashmir","3","0","0","0",3
"177","17-03-2020","Jharkhand","0","0","0","0",0
"187","17-03-2020","Karnataka","11","0","0","1",11
"197","17-03-2020","Kerala","24","2","3","0",26
"207","17-03-2020","Lakshadweep","0","0","0","0",0
"217","17-03-2020","Ladakh","6","0","0","0",6
"227","17-03-2020","Madhya Pradesh","0","0","0","0",0
"237","17-03-2020","Maharashtra","36","3","0","1",39
"247","17-03-2020","Manipur","0","0","0","0",0
"257","17-03-2020","Meghalaya","0","0","0","0",0
"267","17-03-2020","Mizoram","0","0","0","0",0
"277","17-03-2020","Nagaland","0","0","0","0",0
"287","17-03-2020","Odisha","1","0","0","0",1
"297","17-03-2020","Puducherry","0","0","0","0",0
"307","17-03-2020","Punjab","1","0","0","0",1
"3111","17-03-2020","Rajasthan","2","2","3","0",4
"327","17-03-2020","Sikkim","0","0","0","0",0
"337","17-03-2020","Tamil Nadu","1","0","0","0",1
"347","17-03-2020","Telengana","3","2","1","0",5
"357","17-03-2020","Tripura","0","0","0","0",0
"367","17-03-2020","Uttarakhand","1","0","0","0",1
"377","17-03-2020","Uttar Pradesh","14","1","5","0",15
"387","17-03-2020","West Bengal","0","0","0","0",0
"328","18-03-2020","Andhra Pradesh","1","0","0","0",1
"48","18-03-2020","Andaman and Nicobar Islands","0","0","0","0",0
"58","18-03-2020","Arunachal Pradesh","0","0","0","0",0
"68","18-03-2020","Assam","0","0","0","0",0
"78","18-03-2020","Bihar","0","0","0","0",0
"88","18-03-2020","Chandigarh","0","0","0","0",0
"98","18-03-2020","Chhattisgarh","0","0","0","0",0
"108","18-03-2020","Dadra and Nagar Haveli","0","0","0","0",0
"118","18-03-2020","Delhi","9","1","2","1",10
"128","18-03-2020","Goa","0","0","0","0",0
"138","18-03-2020","Gujarat","0","0","0","0",0
"148","18-03-2020","Haryana","3","14","0","0",17
"158","18-03-2020","Himachal Pradesh","0","0","0","0",0
"168","18-03-2020","Jammu and Kashmir","3","0","0","0",3
"178","18-03-2020","Jharkhand","0","0","0","0",0
"188","18-03-2020","Karnataka","11","0","0","1",11
"198","18-03-2020","Kerala","25","2","3","0",27
"208","18-03-2020","Lakshadweep","0","0","0","0",0
"218","18-03-2020","Ladakh","8","0","0","0",8
"228","18-03-2020","Madhya Pradesh","0","0","0","0",0
"238","18-03-2020","Maharashtra","39","3","0","1",42
"248","18-03-2020","Manipur","0","0","0","0",0
"258","18-03-2020","Meghalaya","0","0","0","0",0
"268","18-03-2020","Mizoram","0","0","0","0",0
"278","18-03-2020","Nagaland","0","0","0","0",0
"288","18-03-2020","Odisha","1","0","0","0",1
"298","18-03-2020","Puducherry","1","0","0","0",1
"308","18-03-2020","Punjab","1","0","0","0",1
"3112","18-03-2020","Rajasthan","2","2","3","0",4
"329","18-03-2020","Sikkim","0","0","0","0",0
"338","18-03-2020","Tamil Nadu","1","0","0","0",1
"348","18-03-2020","Telengana","4","2","1","0",6
"358","18-03-2020","Tripura","0","0","0","0",0
"368","18-03-2020","Uttarakhand","1","0","0","0",1
"378","18-03-2020","Uttar Pradesh","15","1","5","0",16
"388","18-03-2020","West Bengal","1","0","0","0",1
"330","19-03-2020","Andhra Pradesh","2","0","0","0",2
"49","19-03-2020","Andaman and Nicobar Islands","0","0","0","0",0
"59","19-03-2020","Arunachal Pradesh","0","0","0","0",0
"69","19-03-2020","Assam","0","0","0","0",0
"79","19-03-2020","Bihar","0","0","0","0",0
"89","19-03-2020","Chandigarh","1","0","0","0",1
"99","19-03-2020","Chhattisgarh","1","0","0","0",1
"109","19-03-2020","Dadra and Nagar Haveli","0","0","0","0",0
"119","19-03-2020","Delhi","11","1","3","1",12
"129","19-03-2020","Goa","0","0","0","0",0
"139","19-03-2020","Gujarat","0","0","0","0",0
"149","19-03-2020","Haryana","3","14","0","0",17
"159","19-03-2020","Himachal Pradesh","0","0","0","0",0
"169","19-03-2020","Jammu and Kashmir","4","0","0","0",4
"179","19-03-2020","Jharkhand","0","0","0","0",0
"189","19-03-2020","Karnataka","14","0","0","1",14
"199","19-03-2020","Kerala","25","2","3","0",27
"209","19-03-2020","Lakshadweep","0","0","0","0",0
"219","19-03-2020","Ladakh","8","0","0","0",8
"229","19-03-2020","Madhya Pradesh","0","0","0","0",0
"239","19-03-2020","Maharashtra","44","3","0","1",47
"249","19-03-2020","Manipur","0","0","0","0",0
"259","19-03-2020","Meghalaya","0","0","0","0",0
"269","19-03-2020","Mizoram","0","0","0","0",0
"279","19-03-2020","Nagaland","0","0","0","0",0
"289","19-03-2020","Odisha","1","0","0","0",1
"299","19-03-2020","Puducherry","1","0","0","0",1
"309","19-03-2020","Punjab","2","0","0","1",2
"3113","19-03-2020","Rajasthan","5","2","3","0",7
"3210","19-03-2020","Sikkim","0","0","0","0",0
"339","19-03-2020","Tamil Nadu","2","0","1","0",2
"349","19-03-2020","Telengana","4","2","1","0",6
"359","19-03-2020","Tripura","0","0","0","0",0
"369","19-03-2020","Uttarakhand","1","0","0","0",1
"379","19-03-2020","Uttar Pradesh","18","1","9","0",19
"389","19-03-2020","West Bengal","1","0","0","0",1
"340","20-03-2020","Andhra Pradesh","3","0","0","0",3
"410","20-03-2020","Andaman and Nicobar Islands","0","0","0","0",0
"510","20-03-2020","Arunachal Pradesh","0","0","0","0",0
"610","20-03-2020","Assam","0","0","0","0",0
"710","20-03-2020","Bihar","0","0","0","0",0
"810","20-03-2020","Chandigarh","1","0","0","0",1
"910","20-03-2020","Chhattisgarh","1","0","0","0",1
"1010","20-03-2020","Dadra and Nagar Haveli","0","0","0","0",0
"1110","20-03-2020","Delhi","16","1","5","1",17
"1210","20-03-2020","Goa","0","0","0","0",0
"1310","20-03-2020","Gujarat","5","0","0","0",5
"1410","20-03-2020","Haryana","3","14","0","0",17
"1510","20-03-2020","Himachal Pradesh","0","0","0","0",0
"1610","20-03-2020","Jammu and Kashmir","4","0","0","0",4
"1710","20-03-2020","Jharkhand","0","0","0","0",0
"1810","20-03-2020","Karnataka","15","0","1","1",15
"1910","20-03-2020","Kerala","26","2","3","0",28
"2010","20-03-2020","Lakshadweep","0","0","0","0",0
"2110","20-03-2020","Ladakh","10","0","0","0",10
"2210","20-03-2020","Madhya Pradesh","0","0","0","0",0
"2310","20-03-2020","Maharashtra","49","3","0","1",52
"2410","20-03-2020","Manipur","0","0","0","0",0
"2510","20-03-2020","Meghalaya","0","0","0","0",0
"2610","20-03-2020","Mizoram","0","0","0","0",0
"2710","20-03-2020","Nagaland","0","0","0","0",0
"2810","20-03-2020","Odisha","2","0","0","0",2
"2910","20-03-2020","Puducherry","1","0","0","0",1
"3010","20-03-2020","Punjab","2","0","0","1",2
"3114","20-03-2020","Rajasthan","15","2","3","0",17
"3211","20-03-2020","Sikkim","0","0","0","0",0
"3310","20-03-2020","Tamil Nadu","3","0","1","0",3
"3410","20-03-2020","Telengana","8","9","1","0",17
"3510","20-03-2020","Tripura","0","0","0","0",0
"3610","20-03-2020","Uttarakhand","3","0","0","0",3
"3710","20-03-2020","Uttar Pradesh","22","1","9","0",23
"3810","20-03-2020","West Bengal","2","0","0","0",2
"350","21-03-2020","Andhra Pradesh","3","0","0","0",3
"411","21-03-2020","Andaman and Nicobar Islands","0","0","0","0",0
"511","21-03-2020","Arunachal Pradesh","0","0","0","0",0
"611","21-03-2020","Assam","0","0","0","0",0
"711","21-03-2020","Bihar","0","0","0","0",0
"811","21-03-2020","Chandigarh","1","0","0","0",1
"911","21-03-2020","Chhattisgarh","1","0","0","0",1
"1011","21-03-2020","Dadra and Nagar Haveli","0","0","0","0",0
"1111","21-03-2020","Delhi","25","1","5","1",26
"1211","21-03-2020","Goa","0","0","0","0",0
"1311","21-03-2020","Gujarat","7","0","0","0",7
"1411","21-03-2020","Haryana","3","14","0","0",17
"1511","21-03-2020","Himachal Pradesh","2","0","0","0",2
"1611","21-03-2020","Jammu and Kashmir","4","0","0","0",4
"1711","21-03-2020","Jharkhand","0","0","0","0",0
"1811","21-03-2020","Karnataka","15","0","1","1",15
"1911","21-03-2020","Kerala","33","7","3","0",40
"2011","21-03-2020","Lakshadweep","0","0","0","0",0
"2111","21-03-2020","Ladakh","13","0","0","0",13
"2211","21-03-2020","Madhya Pradesh","4","0","0","0",4
"2311","21-03-2020","Maharashtra","60","3","0","1",63
"2411","21-03-2020","Manipur","0","0","0","0",0
"2511","21-03-2020","Meghalaya","0","0","0","0",0
"2611","21-03-2020","Mizoram","0","0","0","0",0
"2711","21-03-2020","Nagaland","0","0","0","0",0
"2811","21-03-2020","Odisha","2","0","0","0",2
"2911","21-03-2020","Puducherry","1","0","0","0",1
"3011","21-03-2020","Punjab","13","0","0","1",13
"3115","21-03-2020","Rajasthan","15","2","3","0",17
"3212","21-03-2020","Sikkim","0","0","0","0",0
"3311","21-03-2020","Tamil Nadu","3","0","1","0",3
"3411","21-03-2020","Telengana","10","11","1","0",21
"3511","21-03-2020","Tripura","0","0","0","0",0
"3611","21-03-2020","Uttarakhand","3","0","0","0",3
"3711","21-03-2020","Uttar Pradesh","23","1","9","0",24
"3811","21-03-2020","West Bengal","3","0","0","0",3
"360","22-03-2020","Andhra Pradesh","5","0","0","0",5
"412","22-03-2020","Andaman and Nicobar Islands","0","0","0","0",0
"512","22-03-2020","Arunachal Pradesh","0","0","0","0",0
"612","22-03-2020","Assam","0","0","0","0",0
"712","22-03-2020","Bihar","2","0","0","1",2
"812","22-03-2020","Chandigarh","5","0","0","0",5
"912","22-03-2020","Chhattisgarh","1","0","0","0",1
"1012","22-03-2020","Dadra and Nagar Haveli","0","0","0","0",0
"1112","22-03-2020","Delhi","28","1","5","1",29
"1212","22-03-2020","Goa","0","0","0","0",0
"1312","22-03-2020","Gujarat","18","0","0","1",18
"1412","22-03-2020","Haryana","7","14","0","0",21
"1512","22-03-2020","Himachal Pradesh","2","0","0","0",2
"1612","22-03-2020","Jammu and Kashmir","4","0","0","0",4
"1712","22-03-2020","Jharkhand","0","0","0","0",0
"1812","22-03-2020","Karnataka","26","0","2","1",26
"1912","22-03-2020","Kerala","45","7","3","0",52
"2012","22-03-2020","Lakshadweep","0","0","0","0",0
"2112","22-03-2020","Ladakh","13","0","0","0",13
"2212","22-03-2020","Madhya Pradesh","4","0","0","0",4
"2312","22-03-2020","Maharashtra","64","3","0","2",67
"2412","22-03-2020","Manipur","0","0","0","0",0
"2512","22-03-2020","Meghalaya","0","0","0","0",0
"2612","22-03-2020","Mizoram","0","0","0","0",0
"2712","22-03-2020","Nagaland","0","0","0","0",0
"2812","22-03-2020","Odisha","2","0","0","0",2
"2912","22-03-2020","Puducherry","1","0","0","0",1
"3012","22-03-2020","Punjab","21","0","0","1",21
"3116","22-03-2020","Rajasthan","22","2","3","0",24
"3213","22-03-2020","Sikkim","0","0","0","0",0
"3312","22-03-2020","Tamil Nadu","5","2","1","0",7
"3412","22-03-2020","Telengana","11","11","1","0",22
"3512","22-03-2020","Tripura","0","0","0","0",0
"3612","22-03-2020","Uttarakhand","3","0","0","0",3
"3712","22-03-2020","Uttar Pradesh","26","1","9","0",27
"3812","22-03-2020","West Bengal","4","0","0","0",4
"370","23-03-2020","Andhra Pradesh","7","0","0","0",7
"413","23-03-2020","Andaman and Nicobar Islands","0","0","0","0",0
"513","23-03-2020","Arunachal Pradesh","0","0","0","0",0
"613","23-03-2020","Assam","0","0","0","0",0
"713","23-03-2020","Bihar","2","0","0","1",2
"813","23-03-2020","Chandigarh","6","0","0","0",6
"913","23-03-2020","Chhattisgarh","1","0","0","0",1
"1013","23-03-2020","Dadra and Nagar Haveli","0","0","0","0",0
"1113","23-03-2020","Delhi","28","1","5","1",29
"1213","23-03-2020","Goa","0","0","0","0",0
"1313","23-03-2020","Gujarat","29","0","0","1",29
"1413","23-03-2020","Haryana","12","14","11","0",26
"1513","23-03-2020","Himachal Pradesh","2","0","0","0",2
"1613","23-03-2020","Jammu and Kashmir","4","0","0","0",4
"1713","23-03-2020","Jharkhand","0","0","0","0",0
"1813","23-03-2020","Karnataka","33","0","2","1",33
"1913","23-03-2020","Kerala","60","7","3","0",67
"2013","23-03-2020","Lakshadweep","0","0","0","0",0
"2113","23-03-2020","Ladakh","13","0","0","0",13
"2213","23-03-2020","Madhya Pradesh","6","0","0","0",6
"2313","23-03-2020","Maharashtra","71","3","0","2",74
"2413","23-03-2020","Manipur","0","0","0","0",0
"2513","23-03-2020","Meghalaya","0","0","0","0",0
"2613","23-03-2020","Mizoram","0","0","0","0",0
"2713","23-03-2020","Nagaland","0","0","0","0",0
"2813","23-03-2020","Odisha","2","0","0","0",2
"2913","23-03-2020","Puducherry","1","0","0","0",1
"3013","23-03-2020","Punjab","21","0","0","1",21
"3117","23-03-2020","Rajasthan","26","2","3","0",28
"3214","23-03-2020","Sikkim","0","0","0","0",0
"3313","23-03-2020","Tamil Nadu","7","2","1","0",9
"3413","23-03-2020","Telengana","22","10","1","0",32
"3513","23-03-2020","Tripura","0","0","0","0",0
"3613","23-03-2020","Uttarakhand","3","0","0","0",3
"3713","23-03-2020","Uttar Pradesh","30","1","9","0",31
"3813","23-03-2020","West Bengal","7","0","0","1",7
"380","24-03-2020","Andhra Pradesh","8","0","0","0",8
"414","24-03-2020","Andaman and Nicobar Islands","0","0","0","0",0
"514","24-03-2020","Arunachal Pradesh","0","0","0","0",0
